stand,month,day,year,tree_tag,age,height_cm,basal_diameter_mm,notes
1,7,11,1983,690,3,8,3,NA
1,7,11,1983,691,8,10,13,dead top
1,6,10,1983,692,6,14,5.5,NA
1,6,10,1983,694,6,8,3,NA
1,6,10,1983,696,6,13,2.5,NA
1,7,11,1983,697,5,5,3,NA
1,7,11,1983,698,4,9,2.5,NA
1,7,27,1983,701,6,13,5,NA
1,7,27,1983,702,7,7,3,NA
1,7,27,1983,703,8,11,3,NA
1,7,11,1983,704,3,2,2,NA
1,7,11,1983,705,3,5,2,NA
1,7,27,1983,716,6,5,3,NA
1,7,11,1983,723,4,5,2,NA
1,7,27,1983,727,8,21,8,NA
1,7,11,1983,730,5,4,2,NA
1,7,27,1983,737,6,9,4,NA
1,7,27,1983,752,6,8,2,NA
1,7,27,1983,756,5,7,2,NA
1,NA,NA,1984,402,NA,28,4,NA
1,NA,NA,1984,407,NA,29,4,NA
1,NA,NA,1984,429,NA,77,10,NA
1,NA,NA,1984,430,NA,19,5,NA
1,NA,NA,1984,436,NA,59,7,NA
1,NA,NA,1984,443,NA,18,2,NA
1,NA,NA,1984,445,NA,26,4,NA
1,NA,NA,1984,448,NA,57,6,NA
1,NA,NA,1984,450,NA,33,3,NA
1,NA,NA,1984,458,NA,11,2,NA
1,6,23,1984,459,NA,8,1,NA
1,6,23,1984,461,NA,25,10,NA
1,6,23,1984,467,NA,3,3,NA
1,NA,NA,1984,475,NA,68,8,NA
1,NA,NA,1984,480,NA,10,2,NA
1,NA,NA,1984,481,NA,42,6,NA
1,NA,NA,1984,486,NA,53,8,NA
1,NA,NA,1984,489,NA,5,2,"browsed 'a long time ago', so put in 1965"
1,NA,NA,1984,493,NA,14,3,NA
1,6,23,1984,495,NA,4,2,NA
1,6,23,1984,496,NA,26,12,NA
1,NA,NA,1984,498,NA,15,10,NA
1,NA,NA,1984,600,NA,10,5,NA
1,NA,NA,1984,601,NA,24,12,9 male cones
1,NA,NA,1984,602,NA,10,2,NA
1,6,23,1984,604,NA,8,1,NA
1,NA,NA,1984,606,NA,4,2,NA
1,NA,NA,1984,607,NA,4,5,NA
1,NA,NA,1984,608,NA,10,7,NA
1,6,23,1984,609,NA,25,10,NA
1,6,23,1984,610,NA,10,4,NA
1,NA,NA,1984,611,NA,29,7,NA
1,6,23,1984,612,NA,7,10,NA
1,NA,NA,1984,613,NA,22,6,NA
1,NA,NA,1984,614,NA,16,3,NA
1,6,23,1984,619,NA,14,3,NA
1,6,23,1984,620,NA,10,4,NA
1,NA,NA,1984,621,NA,17,4,NA
1,NA,NA,1984,622,NA,9,3,NA
1,NA,NA,1984,628,NA,3,4,NA
1,6,23,1984,631,NA,212,39,NA
1,NA,NA,1984,632,NA,9,2,NA
