5D,0,0,0,0,10,75,0,0,0,.01,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
5F,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5H,0,0,0,0,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0
5J,0,0,0,0,80,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7J,0,0,25,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.01,0
7H,0,0,0,0,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
7F,0,0,25,0,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7D,0,0,0,8,5,75,0,0,0,1,0,0,0,0,0,0,.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7B,0,0,0,0,.1,85,.01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9B,0,0,0,2,.1,35,.01,0,0,.1,0,0,0,0,0,0,.1,0,.1,0,.1,5,0,0,0,0,.1,0,0,0,0,0,0
9D,0,0,0,0,15,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9F,0,0,0,0,20,70,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9H,0,0,0,0,15,30,0,0,0,1,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9J,0,0,0,0,30,25,0,0,0,1,0,0,0,0,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1B,0,0,0,0,10,60,0,0,0,0,0,0,0,0,.01,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1D,0,0,0,0,0,80,0,0,0,0,0,10,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1F,0,0,0,2,.1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
1H,0,0,0,2,25,40,0,0,0,.1,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1J,0,0,0,0,15,70,0,0,1,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
