stand,east_west,north_south,contour_value
8,8,E,10.34
8,9,E,10.63
8,10,E,10.88
8,0,F,8.94
8,1,F,9.19
8,2,F,9.88
8,3,F,9.78
8,4,F,10.28
8,5,F,9.6
8,6,F,10.11
8,7,F,10.51
8,8,F,10.46
8,9,F,10.86
8,10,F,10.36
8,0,G,9.09
8,1,G,9.45
8,2,G,10.51
8,3,G,10.19
8,4,G,10.13
8,5,G,10.57
8,6,G,10.49
8,7,G,10.78
8,8,G,10.86
8,9,G,11.2
8,10,G,10.62
8,0,H,9.36
8,1,H,9.68
8,2,H,10.18
8,3,H,9.9
8,4,H,10.49
8,5,H,10.46
8,6,H,10.67
8,7,H,10.7
8,8,H,10.82
8,9,H,10.83
8,10,H,10.8
8,0,I,9.65
8,1,I,9.7
8,2,I,10.74
8,3,I,10.51
8,4,I,10.42
8,5,I,10.5
8,6,I,10.45
8,7,I,10.97
8,8,I,10.95
8,9,I,10.77
8,10,I,11.07
8,0,J,9.58
8,1,J,9.71
8,2,J,11.02
8,3,J,10.45
8,4,J,10.88
8,5,J,11.01
8,6,J,11.17
8,7,J,11.05
8,8,J,11.35
8,9,J,10.81
8,10,J,10.69
8,0,K,9.32
8,1,K,9.69
8,2,K,10.7
8,3,K,10.13
8,4,K,10.71
8,5,K,10.34
8,6,K,10.7
8,7,K,11.39
8,8,K,11.25
8,9,K,10.92
8,10,K,11.15
