stand,quad,tree_tag,species_code,DBH_1983_cm,base_coord_S_1983_m,base_coord_W_1983_m,year_dead,fallen_stem_length_1983_m,exit_coord_S_1983_m,exit_coord_W_1983_m,year_fallen_1988,age_1983,stem_height_1983_m,stem_lean_amt_scaled_1983,stem_lean_dir_1983,stem_lean_amt_1991,stem_lean_dir_1991,stem_lean_amt_2000,stem_lean_dir_2000,crown_width_NS_1983_m,crown_width_EW_1983_m,height_to_crown_1983_m,fill_perc_1983,BSD_1983_cm,radial_10year_inc_1983_mm,DBH_1991_cm,DBH_2000_cm,height_2000_m,tree_code_2000,fire_code_2000,comments,DBH_2005_cm,height_2005_m,code_2005,lean_amount_2005_degrees,lean_direction_2005,comments_2005,DBH_2010_cm,height_2010_m,code_2010,lean_amount_2010_degrees,lean_direction_2010,comments_2010
1,1H,6410,PIBA,10.5,1.6,2.7,NA,NA,NA,NA,NA,37,12.3,S,NW,NA,NA,NA,NA,1.7,1.7,3.4,75,13.2,13,12.8,14.5,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1H,6412,PIBA,7.2,2.3,3.6,NA,NA,NA,NA,NA,32,11.7,Z,Z,NA,NA,NA,NA,1.1,1.3,5.4,55,NA,7.55,8.7,9.4,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1H,6416,PIBA,3.8,4.9,4,1982,4.1,5,3.9,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1H,6415,PIBA,11.2,4.2,3.9,NA,NA,NA,NA,NA,33,12.1,S,SE,NA,NA,NA,NA,2.8,2.1,3.5,50,13.8,8.21,13.2,14.5,16.7,NA,NA,NA,14.9,17,NA,NA,NA,NA,15.4,17.9,NA,NA,NA,NA
1,1H,6414,PIBA,9.8,3.3,2.7,NA,NA,NA,NA,NA,34,12.5,Z,Z,NA,NA,NA,NA,2.3,2.1,7.9,50,12.7,11.56,11.6,12.2,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1I,6266,PIBA,12.8,0.4,2.9,NA,NA,NA,NA,NA,36,10.5,S,S,NA,NA,NA,NA,3.5,3.2,1,40,17.4,13.4,14.9,15.4,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1I,6265,PIBA,7,0.5,0.3,NA,NA,NA,NA,NA,29,10.2,S,SW,NA,NA,NA,NA,2,1.7,3,55,NA,12.05,9.2,10.3,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1I,6223,PIBA,16.5,1.6,1,NA,NA,NA,NA,NA,36,14.2,Z,Z,NA,NA,NA,NA,2.9,3.1,6.2,50,20.3,18.35,18.6,20.7,17.4,NA,NA,NA,21.3,18.2,NA,NA,NA,NA,21.5,19.8,NA,NA,NA,NA
1,1I,6268,PIBA,10,4.4,2.9,NA,NA,NA,NA,NA,35,12.5,S,N,NA,NA,NA,NA,0.8,2.4,5.6,35,12.1,7.6,11.3,11.9,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1I,6272,PIBA,8.8,4.1,4.9,NA,NA,NA,NA,NA,39,12,S,W,NA,NA,NA,NA,2.1,1.1,6.6,60,11.8,12.28,9.9,10.2,14.3,NA,NA,NA,10,13.8,DS,NA,NA,dbh and ht checked,NA,NA,DS,NA,NA,NA
1,1I,6269,PIBA,9.2,4,3.2,NA,NA,NA,NA,NA,34,13.8,S,W,NA,NA,NA,NA,1.2,1.6,6.5,80,10.9,14.3,11.3,13,17.7,NA,NA,NA,13.6,18.4,NA,NA,NA,NA,14.1,19.2,NA,NA,NA,NA
1,1I,6271,PIBA,10,3.9,4.5,NA,NA,NA,NA,NA,37,12.2,S,N,NA,NA,NA,NA,3.7,2,5.9,50,12.5,9.58,11.6,12.5,14.7,NA,NA,NA,12.6,15.5,NA,NA,NA,NA,12.4,16.8,NA,NA,NA,dbh checked
1,1I,6270,PIBA,8.5,3.3,4.4,NA,NA,NA,NA,NA,30,11.3,S,SW,NA,NA,NA,NA,2.1,2.2,6,30,9.9,11.38,9.4,10,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,16.3,NA,NA,NA,NA
1,1I,6417,PIBA,8.5,3.1,0.3,NA,NA,NA,NA,NA,36,12.1,S,NW,NA,NA,NA,NA,1.8,1.3,3,55,10.4,9.66,10.3,10.7,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1I,6267,PIBA,11,3.1,2.7,NA,NA,NA,NA,NA,30,13,Z,Z,NA,NA,NA,NA,2.2,2.5,7.6,75,15,19.01,12.9,14.6,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1J,6275,PIBA,7.5,0.3,3.7,NA,NA,NA,NA,NA,NA,11.1,S,W,NA,NA,NA,NA,1.8,1.4,3,60,NA,NA,9.9,12.3,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1J,6274,PIBA,9.5,4.6,1.9,NA,NA,NA,NA,NA,NA,10.3,S,E,NA,NA,NA,NA,2.7,2.8,2.3,45,NA,NA,10.8,12.3,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1J,6273,PIBA,10,4.2,0.7,NA,NA,NA,NA,NA,NA,11.1,Z,Z,NA,NA,NA,NA,2.5,1.9,2.5,50,NA,NA,12.5,15.2,16.7,NA,NA,NA,16.5,17.2,NA,NA,NA,NA,17.6,19.1,NA,NA,NA,NA
1,2A,6448,PIBA,16.8,0,1.2,NA,NA,NA,NA,NA,NA,12.8,S,E,NA,NA,NA,NA,3.3,2.9,7.2,30,NA,NA,18,18,13.7,NA,NA,NA,18,13.7,DS,NA,NA,NA,NA,NA,DS,NA,NA,NA
1,2A,6447,PIBA,5.5,0.5,3.5,NA,NA,NA,NA,NA,28,7.7,S,N,NA,NA,NA,NA,1,1.3,1.6,65,NA,4.77,6.5,6.7,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2A,6446,PIBA,6,1.5,4.6,NA,NA,NA,NA,NA,23,8.1,S,N,NA,NA,NA,NA,1.1,1.3,3,35,NA,7.21,7.9,7.7,10.5,NA,NA,NA,8.5,10.5,NA,NA,NA,NA,8.3,10.2,NA,NA,NA,ht and dbh checked
