"stand","plot","tag","species_code","DBH_1983_cm","base_coord_N_1983_m","base_coord_S_1983_m","base_coord_E_1983_m","base_coord_W_1983_m","year_dead","fallen_stem_length_1983_m","exit_coord_N_1983_m","exit_coord_S_1983_m","exit_coord_E_1983_m","exit_coord_W_1983_m","year_fallen_1983","age_1983","stem_height_1983_m","stem_lean_amt_scaled_1983","stem_lean_dir_1983","stem_lean_amt_1991","stem_lean_dir_1991","stem_lean_amt_2000","stem_lean_dir_2000","crown_width_NS_1983_m","crown_width_EW_1983_m","height_to_crown_1983_m","fill_perc_1983","BSD_1983","radial_10year_inc_1983_mm","DBH_1991_cm","DBH_2000_cm","height_2000_m","tree_code_2000","fire_code_2000","comments"
"5","0I","2636","POTR",13.2,"1.5",NA,"1",NA,"1991","18.5","2.1",NA,"0",NA,"1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.3",NA,NA,"DD",NA,"Original_length_number_in_spreadsheet_was_85.0;_data_is_different_than_the_original__data_sheet,_but_left_as_is,_b/c_it_is_the_original_data_entry_(2003)"
"5","0J","2614","POTR",18,NA,"1.3",NA,"0.5","1991",NA,NA,NA,NA,NA,NA,NA,"19.8","O","Z",NA,NA,NA,NA,NA,NA,"11.6",NA,NA,NA,"18",NA,NA,NA,NA,""
"5","0J","2631","POTR",19.5,NA,"1.5","2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.2","M","S",NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,"20.4","22.7","21.9",NA,NA,""
"5","0J","2615","PIGL",11.5,NA,"1.8",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"13.2","O","Z",NA,NA,NA,NA,"3.3","3","3.5","25",NA,NA,"13.2","15","16.3",NA,NA,""
"5","0J","2632","POTR",16,NA,"2.3","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.8","O","Z",NA,NA,NA,NA,NA,NA,"13.8",NA,NA,NA,"17.3","17.2",NA,NA,NA,""
"5","0J","2390","PIGL",19.8,"0.7",NA,"1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.8","S","SE",NA,NA,NA,NA,"4.5","3.9","3.4","80",NA,NA,"22.6","25.1","16.4",NA,NA,""
"5","0J","2618","POTR",14.5,"0.9",NA,NA,"1.9",NA,NA,NA,NA,NA,NA,NA,NA,"20.4","S","E",NA,NA,NA,NA,NA,NA,"14.4",NA,NA,NA,"16","17.7","18.7",NA,NA,""
"5","0J","2617","PIGL",6.2,"1.9",NA,NA,"1.6",NA,NA,NA,NA,NA,NA,NA,"47","6.4","M","N",NA,NA,NA,NA,"2.6","2.2","2.2","20",NA,"4.78","6.7","7.1","7.7",NA,NA,""
"5","1A","2139","POTR",14.5,NA,"1",NA,"2.3","1981",NA,NA,"0","2.4",NA,"1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,""
"5","1A","2138","PIGL",17.5,NA,"1.7",NA,"0.9",NA,NA,NA,NA,NA,NA,NA,NA,"16.3","S","E",NA,NA,NA,NA,"4.2","5.1","6","75",NA,NA,"21.1","24.9","21.6",NA,NA,""
"5","1A","2140","POTR",13.8,NA,"2","2",NA,"1981","10.5",NA,"0.5","0",NA,"1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,"Original_data_sheet_had_the_length_number_-_spreadsheet_is_corrected_to_match_(2003)"
"5","1A","2141","PIGL",2.5,NA,"2.7",NA,"2.4",NA,NA,NA,NA,NA,NA,NA,NA,"4.8","S","W",NA,NA,NA,NA,"1.5","1.5","1","5",NA,NA,"2.8","2.5","3","DS",NA,""
"5","1A","2152","PIGL",14.2,"1.3",NA,"0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","O","Z",NA,NA,NA,NA,"4.1","3.8","5.2","70",NA,NA,"16.6","19.4","17",NA,NA,""
"5","1A","2135","POTR",16.5,"2",NA,NA,"0.7","1984",NA,NA,NA,"0.2",NA,NA,NA,NA,"M","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.9",NA,NA,"DD",NA,""
"5","1A","2137","PIGL",3.2,"2.2",NA,NA,"0.8","2000",NA,NA,NA,NA,NA,NA,NA,"8.6","S","SE","50","SE",NA,NA,"1.2","1.4","1.9","5",NA,NA,"3.5",NA,NA,"DD",NA,""
"5","1B","2153","POTR",23.5,NA,"0.1",NA,"0.6",NA,NA,NA,NA,NA,NA,NA,NA,"20","M","NE",NA,NA,NA,NA,"4.1","4","13","70",NA,NA,"24.5","26.5",NA,"LL",NA,""
