stand,quadrat,tree_tag,dead,height_m,age,dbh_m,sp_codes
4,3A,1524,l,NA,NA,12.953993,PIBA
4,4A,1525,l,NA,NA,12.19199342,PIBA
4,4A,1526,l,NA,NA,10.15999451,PIBA
4,4A,1527,l,NA,NA,11.42999383,PIBA
4,4B,1528,l,NA,NA,9.905994651,PIBA
4,4B,1529,l,NA,NA,3.809997943,PIBA
4,4B,1530,l,11.5,38,12.69999314,PIBA
4,4B,1532,l,NA,NA,14.47799218,PIBA
4,4B,1531,l,NA,NA,9.651994788,PIBA
4,4B,1533,l,NA,NA,3.55599808,PIBA
4,4B,1534,l,NA,NA,12.69999314,PIBA
4,4C,1535,l,NA,NA,8.889995199,PIBA
4,4C,1536,l,NA,NA,9.143995062,PIBA
4,4C,1537,l,NA,NA,5.079997257,PIBA
4,4C,1538,l,NA,NA,10.41399438,PIBA
4,4D,1539,l,NA,NA,12.19199342,PIBA
4,4D,1540,l,NA,NA,15.49399163,PIBA
4,4D,1541,l,NA,NA,11.42999383,PIBA
4,4E,1544,l,NA,NA,11.68399369,PIBA
4,4E,1543,l,NA,NA,8.889995199,PIBA
4,4E,1542,l,NA,NA,12.44599328,PIBA
4,4E,1545,l,NA,NA,13.96999246,PIBA
4,4E,1546,l,NA,NA,8.381995474,PIBA
4,4F,1547,l,NA,NA,10.15999451,PIBA
4,4F,1549,d,10.8,34,12.69999314,PIBA
4,4F,1550,d,NA,NA,12.44599328,PIBA
4,4F,1548,l,NA,NA,9.905994651,PIBA
4,4G,1551,l,11,37,14.98599191,PIBA
4,4G,1552,d,NA,NA,12.953993,PIBA
4,4H,1553,d,NA,NA,9.397994925,PIBA
4,4H,1554,d,NA,NA,9.651994788,PIBA
4,4I,1556,d,10.8,32,13.20799287,PIBA
4,4I,1555,l,NA,NA,16.25599122,PIBA
4,4I,1557,d,NA,NA,13.20799287,PIBA
4,4J,1558,l,NA,NA,6.603996434,PIBA
4,4J,1562,l,NA,NA,11.17599396,PIBA
4,4J,1561,l,NA,NA,13.96999246,PIBA
4,4J,1559,l,NA,NA,11.42999383,PIBA
4,4J,1560,l,NA,NA,12.953993,PIBA
4,4J,1563,l,NA,NA,13.20799287,PIBA
4,5J,2610,l,NA,NA,10.41399438,PIBA
4,5J,1564,l,NA,NA,5.33399712,PIBA
4,5J,2611,l,NA,NA,5.33399712,PIBA
4,5J,2612,l,NA,NA,10.9219941,PIBA
4,5J,2613,d,NA,NA,10.9219941,PIBA
4,5J,2614,d,NA,NA,12.953993,PIBA
4,5J,2617,d,NA,NA,8.127995611,PIBA
4,5J,2615,d,NA,NA,3.809997943,PIBA
4,5J,2616,d,NA,NA,8.127995611,PIBA
4,5I,2618,d,NA,NA,13.46199273,PIBA
4,5H,2620,d,NA,NA,16.50999108,PIBA
4,5G,2621,d,NA,NA,12.19199342,PIBA
4,5G,2622,d,NA,NA,8.635995337,PIBA
4,5G,2623,d,NA,NA,11.42999383,PIBA
4,5F,2624,l,NA,NA,13.46199273,PIBA
4,5F,2625,l,NA,NA,13.46199273,PIBA
4,5F,2626,l,NA,NA,12.44599328,PIBA
4,5F,2627,l,NA,NA,7.619995885,PIBA
4,5F,2628,l,NA,NA,10.9219941,PIBA
4,5E,2629,l,NA,NA,12.69999314,PIBA
4,5E,2630,d,NA,NA,10.9219941,PIBA
4,5E,2631,l,NA,NA,9.905994651,PIBA
4,5E,2633,d,NA,NA,12.44599328,PIBA
4,5E,2632,l,NA,NA,10.41399438,PIBA
4,5D,2634,l,NA,NA,7.619995885,PIBA
4,5C,2635,l,NA,NA,5.079997257,PIBA
4,5C,2636,l,NA,NA,9.905994651,PIBA
4,5B,2637,l,10.6,36,12.44599328,PIBA
4,5B,2638,l,NA,NA,11.42999383,PIBA
4,5B,2607,l,NA,NA,9.143995062,PIBA
4,5B,2606,l,NA,NA,5.079997257,PIBA
4,5B,2639,l,NA,NA,9.651994788,PIBA
4,5A,2641,l,NA,NA,3.047998354,PIBA
4,5A,2640,l,NA,NA,6.857996297,PIBA
4,5A,2609,l,NA,NA,11.42999383,PIBA
4,5A,2608,l,NA,NA,10.9219941,PIBA
4,5A,2645,l,NA,NA,9.397994925,PIBA
4,5A,2644,l,NA,NA,7.873995748,PIBA
4,5A,2643,l,NA,NA,10.41399438,PIBA
4,5A,2642,l,NA,NA,5.841996845,PIBA
4,6A,2647,l,NA,NA,12.69999314,PIBA
4,6A,2648,l,NA,NA,10.15999451,PIBA
4,6A,2646,l,NA,NA,7.11199616,PIBA
4,6B,2649,l,NA,NA,11.17599396,PIBA
4,6B,2650,l,7.9,37,6.349996571,PIBA
4,6B,2651,l,NA,NA,6.349996571,PIBA
4,6C,2652,d,NA,NA,11.93799355,PIBA
4,6C,2653,d,NA,NA,8.381995474,PIBA
4,6C,2654,d,NA,NA,10.41399438,PIBA
4,6C,2655,d,NA,NA,9.143995062,PIBA
4,6C,2656,l,NA,NA,15.49399163,PIBA
4,6C,2657,d,NA,NA,12.19199342,PIBA
4,6D,2658,l,NA,NA,7.873995748,PIBA
4,6D,2659,l,11,31,11.93799355,PIBA
4,6D,2660,l,NA,NA,6.349996571,PIBA
4,6E,2661,l,NA,NA,10.9219941,PIBA
4,6E,2662,l,NA,NA,14.47799218,PIBA
4,6F,2663,l,NA,NA,5.587996982,PIBA
