Order from csv file,Species,Strata,X7.letter.code,sci.name.2005,sci.authority.2005,common.name,sci.name.2020,sci.authority2020,Comments,Accepted...Y.N.,,,
56,MEAL,F,MELIALB,Melilotus alba,Desr.,white sweet-clover,Melilotus albus,Desr.,,N,,,
25,MELI,F,MELALIN,Melampyrum lineare,Desr.,cow-wheat,Melampyrum lineare,Desr.,,Y,,,
64,MEOF,F,MELIOFF,Melilotus officinalis,(L.) Lam.,yellow sweet-clover,Melilotus officinalis,(L.) Lam.,,Y,,,
44,MEPA,F,MERTPAN,Mertensia paniculata,(Ait.) G. Don.,tall lungwort,Mertensia paniculata,(Aiton) G. Don.,,Y,,,
77,METR,F,MENYTRI,Menyanthes trifoliata,L.,buck-bean,Menyanthes trifoliata,L.,,Y,,,
145,MINT,F,MINTSP.,Unidentified mint,NA,NA,NA,NA,probably Dracocephalum parviflorum (the only species in the mind family found at these sites),NA,,,
45,MINU,F,MITENUD,Mitella nuda,L.,bishop's-cap,Mitella nuda,L.,,Y,,,
90,MOLA,F,MOEHLAT,Moehringia lateriflora,(L.) Fenzl.,blunt-leaved sandwort,Moehringia lateriflora,(L.) Fenzl.,was called ARLA - Arenaria lateriflora based on Moss 1st edition (verified by George LaRoi),Y,,,
51,MOUN,F,MONEUNI,Moneses uniflora,(L.) A. Gray,one-flowered wintergreen,Moneses uniflora,(L.) A. Gray,,Y,,,
115,MUGL,G,MUHLGLO,Muhlenbergia glomerata,(Willd.) Trin.,bog muhly,Muhlenbergia glomerata,(Willd.) Trin.,,Y,,,
126,OBSN,NA,not species data - a number for the person taking the data ,,,,,,,,,,
97,ORAS,G,ORYZASP,Oryzopsis asperifolia,Michx.,white-grained mountain rice grass,Oryzopsis asperifolia,Michx.,,Y,,,
129,ORC1,F,ORCHID,Unidentified orchid,NA,NA,NA,NA,NA,NA,,,
98,ORPU,G,ORYZPUN,Oryzopsis pungens,(Torr.) A.S. Hitchc.,northern rice grass,Piptatherum pungens,(Torr.) Dorn,,N,,,
78,ORRO,F,ORCHROT,Orchis rotundifolia,Banks ex Pursh,round-leaved orchid,Galearis rotundifolia,(Banks ex Pursh) R.M. Bateman,,N,,,
18,ORSE,F,ORTHSEC,Orthilia secunda,(L.) House,one-sided wintergreen,Orthilia secunda,(L.) House,,Y,,,
67,OSCH,F,OSMOCHI,Osmorhiza chilensis,Hook. & Arn.,blunt-fruited sweet cicely,Osmorhiza berteroi,DC.,was identified as Osmorhiza chilensis in the early 1980s - not collected - may be Osmorhiza depauperata? (verified by George LaRoi),N,,,
214,OXMI,S,OXYCMIC,Oxycoccus microcarpus,Turcz.,small bog cranberry,Vaccinium oxycoccos,L.,,N,,,
79,PAPA,F,PARNPAL,Parnassia palustris,L.,northern grass-of-parnassus,Parnassia palustris,L.,,Y,,,
174,PEFR,F,PETAFRI,Petasites frigidus,(L.) var palmatus,NA,NA,NA,"var of Petasite palmatus, can merge with PEPA",NA,,,
46,PEPA,F,PETAPAL,Petasites palmatus,(Ait.) A. Gray,palmate-leaved coltsfoot,Petasites frigidus var. palmatus,(Aiton) Cronquist,,N,,,
70,PESA,F,PETASAG,Petasites sagittatus,(Pursh) A. Gray,arrow-leaved coltsfoot,Petasites frigidus var. sagittatus,(Banks ex Pursh) Chem.,,N,,,
217,PIBA,T,PINUBAN,Pinus banksiana,Lamb.,jack pine,Pinus banksiana,Lamb.,,Y,,,
218,PIGL,T,PICEGLA,Picea glauca,(Moench) Voss,white spruce,Picea glauca,(Moench) Voss,,Y,,,
220,PIMA,T,PICEMAR,Picea mariana,(Mill.) BSP.,black spruce,Picea mariana,"(Mill.) Britton, Sterns & Poggenb. ",,Y,,,
223,POBA,T,POPUBAL,Populus balsamifera,L.,balsam poplar,Populus balsamifera,L.,,Y,,,
80,POPA,F,POTEPAL,Potentilla palustris,(L.) Scop.,marsh cinquefoil,Comarum palustre,L.,,N,,,
182,POPL,G,POA_PAL,Poa palustris,L.,fowl bluegrass,Poa palustris,L.,stand 7 & 8 in 2010 and 2015; Low cover,NA,,,
166,POT3,F,POTETRI,Potentilla tridentata,Ait.,three-toothed cinquefoil,Sibbaldiopsis tridentata,(Aiton) Rydb.,different code for same species POTETRI,NA,,,
219,POTR,T,POPUTRE,Populus tremuloides,Michx.,aspen,Populus tremuloides,Michx.,,Y,,,
91,POT-TRI,F,POTETRI,Potentilla tridentata,Ait.,three-toothed cinquefoil,Sibbaldiopsis tridentata,(Aiton) Rydb.,,N,,,
92,POye,F,POTESP.,Potentilla sp.,,,0,0,a ruderal Potentilla species - not collected - (verified by George LaRoi),,these two are the same,,
144,POYE,F,POTESP.,Potentilla sp.,,,0,0,a ruderal Potentilla species - not collected - (verified by George LaRoi),NA,,,
189,PRPE,S,PRUNPEN,Prunus pensylvanica,L.f.,pin cherry,Prunus pensylvanica,L. f.,,Y,,,
190,PRVI,S,PRUNVIR,Prunus virginiana,L.,choke cherry,Prunus virginiana,L.,,Y,,,
47,PYAS,F,PYROASA,Pyrola asarifolia,Michx.,common pink wintergreen,Pyrola asarifolia,Michx.,,Y,,,
19,PYCH,F,PYROCHL,Pyrola chlorantha,Sw.,greenish-flowered wintergreen,Pyrola chlorantha,Sw.,,Y,,,
171,RHMI,F,RHINMIN,Rhinanthus minor,L.,little yellow rattle,Rhinanthus minor,L.,weedy,NA,,,
207,RIGL,S,RIBEGLA,Ribes glandulosum,Grauer,skunk currant,Ribes glandulosum,Grauer,,Y,,,
175,RIHU,S,RIBEHUD,Ribes hudsonianum,Richardson,northern black currant,Ribes hudsonianum,Richardson,NA,NA,,,
203,RILA,S,RIBELAC,Ribes lacustre,(Pers.) Poir.,bristly black currant,Ribes lacustre,(Pers.) Poir.,,Y,,,
134,RIOX,S,RIBEOXY,Ribes oxyacanthoides,L.,Canadian gooseberry,Ribes oxyacanthoides,L.,NA,NA,,,
205,RITR,S,RIBETRI,Ribes triste,Pall.,wild red currant,Ribes triste,Pall.,,Y,,,
191,ROAC,S,ROSAACI,Rosa acicularis,Lindl.,prickly rose,Rosa acicularis,Lindl.,,Y,,,
198,ROWO,S,ROSAWOO,Rosa woodsii,Lindl.,common wild rose,Rosa woodsii,Lindl.,,Y,,,
81,RUAC,F,RUBUARC,Rubus arcticus,L.,dwarf raspberry,Rubus arcticus,L.,same as Rubus acaulis,Y,,,
88,RUCH,F,RUBUCHA,Rubus chamaemorus,L.,cloudberry,Rubus chamaemorus,L.,,Y,,,
192,RUID,S,RUBUIDA,Rubus idaeus,L.,wild red raspberry,Rubus idaeus,L.,,Y,,,
183,RUOC,F,RUMEOCC,Rumex occidentalis,S. Wats.,western dock,Rumex aquaticus,L. ,weedy,NA,,,
34,RUPU,F,RUBUPUB,Rubus pubescens,Raf.,dewberry,Rubus pubescens,Raf.,,Y,,,
147,RUSP,F,UNKNORU,,NA,NA,NA,NA,unknown Rubus or Rumex sp. There is one sighting in 2001 stand 6,NA,,,
208,SAAR,S,SALIARB,Salix arbusculoides,Anderss.,shrubby willow,Salix arbusculoides,Andersson,,Y,,,
193,SABE,S,SALIBEB,Salix bebbiana,Sarg.,beaked willow,Salix bebbiana,Sarg.,"identified by Derek Johnson - called ""SX-YEBR"" on 2005 fieldsheet",Y,,,
215,SACA,S,SALICAN,Salix candida,Fluegge ex Willd.,hoary willow,Salix candida,Fluegge ex Willd.,,Y,,,
172,SADI,S,SALIXDIS,Salix discolor,Muhl.,pussy willow,Salix discolor,Muhl.,NA,NA,,,
133,SALIX,S,SALIXSP.,Salix sp.,NA,,Salix sp.,NA,"unidentified Salix, same as SASP",NA,,,
180,SALU,NA,SALIXSPU,Salix sp.,NA,,Salix sp.,NA,"likely Salix lucida but can't confirm, could be Salix lutea",NA,,,
154,SAMA,S,SALIMAC,Salix maccalliana,Rowlee,McCalla's willow,Salix maccalliana,Rowlee,NA,NA,,,
211,SAMY,S,SALIMYR,Salix myrtillifolia,Anderss.,myrtle-leaved willow,Salix myrtillifolia,Andersson,,Y,,,
216,SAPE,S,SALIPED,Salix pedicellaris,Pursh,bog willow,Salix pedicellaris,Pursh,,Y,,,
152,SAPL,S,SALIPLA,Salix planifolia,Pursh,diamondleaf willow,Salix planifolia,Pursh,NA,NA,,,
209,SAPS,S,SALIPSE,Salix pseudomonticola,Ball,false mountain willow,Salix pseudomonticola,C. R. Ball,,Y,,,
177,SAPY,S,SALIPYR,Salix pyrifolia,Anderss.,balsam willow,Salix pyrifolia,Anderss.,NA,NA,,,
146,SASP,S,SALIXSP.,Salix sp.,NA,,Salix sp.,NA,unidentified Salix - same as SALIX,NA,,,
99,SCPU,G,SCHIPUR,Schizachne purpurascens,(Torr.)  Swallen,purple oat grass,Schizachne purpurascens,(Torr.) Swallen,,Y,,,
148,SEER,F,SENEERE,Senecio eremophilus,Richards.,desert ragwort,Senecio eremophilus,Richards.,NA,NA,,,
60,SEIN,F,SENEIND,Senecio indecorus,Greene,rayless ragwort,Packera indecora,(Greene) A. Love & D. Love,"was called ""SENECIO"" in 2005 - not collected - possibly Senecio indecorus? (verified by George LaRoi)",N,,,
