stand,year,month,day,quad,TEMP
ML,1982,8,NA,8C,64
ML,1982,8,NA,8E,64
ML,1982,8,NA,8G,64
ML,1982,8,NA,8I,61
OI,1982,8,NA,0A,57
OI,1982,8,NA,0C,56
OI,1982,8,NA,0E,57
OI,1982,8,NA,0G,58
OI,1982,8,NA,0I,58
OI,1982,8,NA,2A,57
OI,1982,8,NA,2C,57
OI,1982,8,NA,2E,57
OI,1982,8,NA,2G,57
OI,1982,8,NA,2I,57
OI,1982,8,NA,4A,56
OI,1982,8,NA,4C,57
OI,1982,8,NA,4E,56
OI,1982,8,NA,4G,56
OI,1982,8,NA,4I,56
OI,1982,8,NA,6A,56
OI,1982,8,NA,6C,57
OI,1982,8,NA,6E,57
OI,1982,8,NA,6G,56
OI,1982,8,NA,6I,55
OI,1982,8,NA,8A,55
OI,1982,8,NA,8C,55
OI,1982,8,NA,8E,54
OI,1982,8,NA,8G,54
OI,1982,8,NA,8I,54
SJ,1982,8,NA,0A,58
SJ,1982,8,NA,0C,58
SJ,1982,8,NA,0E,59
SJ,1982,8,NA,0G,59
SJ,1982,8,NA,0I,58
SJ,1982,8,NA,2A,57
SJ,1982,8,NA,2C,57
SJ,1982,8,NA,2E,57
SJ,1982,8,NA,2G,57
SJ,1982,8,NA,2I,58
SJ,1982,8,NA,4A,58
SJ,1982,8,NA,4C,58
SJ,1982,8,NA,4E,57
SJ,1982,8,NA,4G,58
SJ,1982,8,NA,4I,58
SJ,1982,8,NA,6A,58
SJ,1982,8,NA,6C,57
SJ,1982,8,NA,6E,58
SJ,1982,8,NA,6G,58
SJ,1982,8,NA,6I,58
SJ,1982,8,NA,8A,58
SJ,1982,8,NA,8C,58
SJ,1982,8,NA,8E,58
SJ,1982,8,NA,8G,58
SJ,1982,8,NA,8I,58
BH,1982,8,NA,0A,59
BH,1982,8,NA,0C,59
BH,1982,8,NA,0E,59
BH,1982,8,NA,0G,60
BH,1982,8,NA,0I,59
BH,1982,8,NA,2A,59
BH,1982,8,NA,2C,59
BH,1982,8,NA,2E,59
BH,1982,8,NA,2G,59
BH,1982,8,NA,2I,60
BH,1982,8,NA,4A,59
BH,1982,8,NA,4C,59
BH,1982,8,NA,4E,60
BH,1982,8,NA,4G,59
BH,1982,8,NA,4I,59
BH,1982,8,NA,6A,58
BH,1982,8,NA,6C,58
BH,1982,8,NA,6E,59
BH,1982,8,NA,6G,60
BH,1982,8,NA,6I,59
BH,1982,8,NA,8A,58
BH,1982,8,NA,8C,58
BH,1982,8,NA,8E,58
BH,1982,8,NA,8G,58
BH,1982,8,NA,8I,60
JS,1982,8,NA,0A,59
JS,1982,8,NA,0C,59
JS,1982,8,NA,0E,59
