month,year,stand,quad,temp_C
9,1990,1,4E,12
10,1990,1,4E,3
8,1995,1,4E,13
8,2000,1,4E,16
8,2005,1,4E,14
8,2010,1,4E,17
6,1981,1,4G,11
8,1981,1,4G,14
9,1981,1,4G,9
11,1981,1,4G,4
5,1982,1,4G,4
6,1982,1,4G,12
7,1982,1,4G,13
8,1982,1,4G,14
9,1982,1,4G,13
10,1982,1,4G,4
5,1983,1,4G,4
6,1983,1,4G,11
7,1983,1,4G,17
8,1983,1,4G,18
9,1983,1,4G,10
10,1983,1,4G,6
5,1984,1,4G,6
6,1984,1,4G,13
7,1984,1,4G,15.5
8,1984,1,4G,19.5
9,1984,1,4G,10.5
10,1984,1,4G,6.5
5,1985,1,4G,2.5
6,1985,1,4G,11
7,1985,1,4G,16
9,1985,1,4G,16
10,1985,1,4G,6
8,1986,1,4G,17.5
5,1987,1,4G,6
8,1987,1,4G,15.5
9,1987,1,4G,6
5,1988,1,4G,4
6,1988,1,4G,12
7,1988,1,4G,19
8,1988,1,4G,15.5
9,1988,1,4G,12
10,1988,1,4G,2
5,1989,1,4G,6
6,1989,1,4G,7
7,1989,1,4G,14
8,1989,1,4G,17
9,1989,1,4G,11
10,1989,1,4G,6
5,1990,1,4G,3
6,1990,1,4G,11
7,1990,1,4G,12
8,1990,1,4G,12
9,1990,1,4G,12
10,1990,1,4G,2
8,1995,1,4G,12
8,2000,1,4G,16
8,2005,1,4G,14
8,2010,1,4G,16
6,1981,1,4I,11
8,1981,1,4I,14
9,1981,1,4I,9
11,1981,1,4I,4
5,1982,1,4I,4
6,1982,1,4I,11
7,1982,1,4I,13
8,1982,1,4I,14
9,1982,1,4I,13
10,1982,1,4I,5
5,1983,1,4I,4
6,1983,1,4I,11
7,1983,1,4I,16
8,1983,1,4I,17
9,1983,1,4I,9
10,1983,1,4I,7
5,1984,1,4I,6
6,1984,1,4I,12
7,1984,1,4I,15.5
8,1984,1,4I,19
9,1984,1,4I,10.5
10,1984,1,4I,6.5
5,1985,1,4I,2.5
6,1985,1,4I,10
7,1985,1,4I,16.5
9,1985,1,4I,16.5
10,1985,1,4I,6
8,1986,1,4I,18
5,1987,1,4I,7
8,1987,1,4I,16
9,1987,1,4I,5
5,1988,1,4I,4
6,1988,1,4I,12
7,1988,1,4I,19
8,1988,1,4I,15.5
9,1988,1,4I,12
10,1988,1,4I,3
5,1989,1,4I,7
6,1989,1,4I,7
7,1989,1,4I,14
8,1989,1,4I,17
9,1989,1,4I,11
10,1989,1,4I,6
5,1990,1,4I,4
6,1990,1,4I,10
7,1990,1,4I,12
8,1990,1,4I,12
9,1990,1,4I,12
10,1990,1,4I,3
8,1995,1,4I,13
8,2000,1,4I,17
8,2005,1,4I,15
8,2010,1,4I,17
6,1981,1,6A,11
8,1981,1,6A,14
9,1981,1,6A,9
11,1981,1,6A,4
5,1982,1,6A,5
6,1982,1,6A,11
7,1982,1,6A,13
8,1982,1,6A,14
9,1982,1,6A,13
10,1982,1,6A,5
5,1983,1,6A,4
6,1983,1,6A,12
7,1983,1,6A,16
8,1983,1,6A,17
9,1983,1,6A,10
10,1983,1,6A,6
5,1984,1,6A,7
6,1984,1,6A,12
7,1984,1,6A,17
8,1984,1,6A,18
9,1984,1,6A,9
10,1984,1,6A,7
5,1985,1,6A,3
6,1985,1,6A,9
7,1985,1,6A,15
9,1985,1,6A,16
10,1985,1,6A,6
8,1986,1,6A,19
5,1987,1,6A,11.5
8,1987,1,6A,20
9,1987,1,6A,8
5,1988,1,6A,5
8,1988,1,6A,15
9,1988,1,6A,14
10,1988,1,6A,3
5,1989,1,6A,9
6,1989,1,6A,9
7,1989,1,6A,14
8,1989,1,6A,21
9,1989,1,6A,11
10,1989,1,6A,7
5,1990,1,6A,6
6,1990,1,6A,12
7,1990,1,6A,13
8,1990,1,6A,13
9,1990,1,6A,12
10,1990,1,6A,2
8,1995,1,6A,13
8,2000,1,6A,18
8,2005,1,6A,16
8,2010,1,6A,18
6,1981,1,6C,11
8,1981,1,6C,14
9,1981,1,6C,9
11,1981,1,6C,4
5,1982,1,6C,4
6,1982,1,6C,10
7,1982,1,6C,17
8,1982,1,6C,13
9,1982,1,6C,12
