"stand","plot","tag","species_code","DBH_1983_cm","base_coord_N_1983_m","base_coord_S_1983_m","base_coord_E_1983_m","base_coord_W_1983_m","year_dead","fallen_stem_length_1983_m","exit_coord_N_1983_m","exit_coord_S_1983_m","exit_coord_E_1983_m","exit_coord_W_1983_m","year_fallen_1983","age_1983","stem_height_1983_m","stem_lean_amt_scaled_1983","stem_lean_dir_1983","stem_lean_amt_1991","stem_lean_dir_1991","stem_lean_amt_2000","stem_lean_dir_2000","crown_width_NS_1983_m","crown_width_EW_1983_m","height_to_crown_1983_m","fill_perc_1983","BSD_1983","radial_10year_inc_1983_mm","DBH_1991_cm","DBH_2000_cm","height_2000_m","tree_code_2000","fire_code_2000","comments"
"2","6B","6567","PIBA",20.8,NA,"0.3","0.8",NA,NA,NA,NA,NA,NA,NA,NA,"50","19","S","N",NA,NA,NA,NA,"3.4","2.7","7.4","35","24","10.99","23.5","25.1","21.9",NA,NA,""
"2","6D","6568","PIBA",22.5,"1.8",NA,NA,"2.1",NA,NA,NA,NA,NA,NA,NA,"46","19.4","S","SE",NA,NA,NA,NA,"4.1","4.9","10","70","28","13","24","25.5","24.6",NA,NA,""
"2","6D","6569","PIBA",3.5,"1.9",NA,NA,"2.1","1982","2.8",NA,"1.5","1",NA,"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,""
"2","6E","6570","PIBA",22.5,NA,"0.9",NA,"0.3",NA,NA,NA,NA,NA,NA,NA,"53","19.6","O","Z",NA,NA,NA,NA,"4","2.6","3","75","29.2","18.76","25.5","27.5","23.4",NA,NA,""
"2","6E","6572","PIBA",7.2,NA,"2.3","0.8",NA,"1982","7.3",NA,"1.2",NA,NA,"1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,"leaning against another tree (1983) "
"2","6E","6571","PIBA",20.8,NA,"2.3","1.6",NA,NA,NA,NA,NA,NA,NA,NA,"47","20.8","S","E",NA,NA,NA,NA,"4.9","3.1","11.8","50","24.6","16.46","23.7","24.3","23.9",NA,NA,"tree is alive (2000)"
"2","6F","6573","PIBA",19.2,NA,"1.7",NA,"1.4",NA,NA,NA,NA,NA,NA,NA,"58","19","S","S",NA,NA,NA,NA,"5.2","3.9","10","50","23.6","14.52","22.4","22.7","22.4",NA,NA,""
"2","7A","6245","PIBA",15.8,NA,"1.4",NA,"1.9",NA,NA,NA,NA,NA,NA,NA,"55","18.2","S","S",NA,NA,NA,NA,"2.2","2.6","12.2","55","21.1",NA,"18.1","19.8","21.6",NA,NA,""
"2","7A","6243","PIBA",15.8,NA,"1.4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.2","O","Z",NA,NA,NA,NA,"1.7","1.2","13.8","70","12.7",NA,"17.5","18.9","22.3",NA,NA,"6243 and 44 are joined (7A) (1991)"
"2","7A","6244","PIBA",14.2,NA,"1.4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","S","N",NA,NA,NA,NA,"2","2.5","13.8","75","13.2",NA,"15.5","15.5","16.9",NA,NA,"grows into 6243 at the top (2000)"
