stand,year,month,PLOT,PIBA,PIGL,POTR,ALCR,AMAL,ARUV,PRPE,ROAC,ROWO,RUID,SABE,SHCA,SYAL,ANMU,ANPA,ARNU,ASLA,CARO,ERGL,GABO,GELI,HIUM,LIBO,LIPH,MELI,ORSE,PYCH,SOSP,VIAD,CXSI,CXRI,ELGL,ELIN,ORAS,ORPU,EQAR,EQVA,LYCO,VAMY,VAVI,MACA
2,1981,7,6I,1,0,0,2,1,20,0,2,0,0,0,0,0,0,0.1,0,2,0.1,0.1,0.5,0,0,0,0,0,0,0,0.5,0,0,0.1,0,0.01,1,0.5,0,0.1,0.1,4,5,2
2,1981,7,8A,30,0.01,0,15,0,0.5,0,2,0,0,0,0,0,0,0,0.5,0,0.01,0,0,3,0,0,0,0,0,0.1,0.1,0,0.01,0,0,0.5,0,0.01,0.1,0,0,0.5,7,0.1
2,1981,7,8C,25,0,0,12,0.5,3,1,2,0,0.5,0,0,0,0,0,2,0,0,0,0.1,1,0,1,0,0,0,0,0,0,0.01,0,0,0.5,0,0,0,0,0,0,10,1
2,1981,7,8E,12,0,0,6,1,7,0,3,0,0.5,0,0,0,0.1,0.5,3,0.5,0.1,0,0.5,2,0.1,2,0,0,0,0,0,0.01,0,0,0,0.1,0,0.1,0,0.1,0.5,2,10,2
2,1981,7,8G,12,0,0,15,2,5,0,2,0,1,0,0,0,0,0.5,4,0.5,0,0,0,0.1,0.1,3,0.1,0,0,0,0,0.1,0,0.1,0,0.5,0.1,0.5,0,0,0,5,8,0.5
2,1981,7,8I,5,0,0,0.1,0.5,7,0.5,2,0,0,0,0,0,0.1,0,0,1,0.01,0.1,0.5,0,0,1,0,0,0,0,0.1,0.1,0,0,0,0.5,0.1,0.1,0,0.1,0,5,8,2
2,1981,8,0A,1,0,0.1,0,1,30,0,1,0,0,0,0.5,0,0.1,0.1,0,0.5,0.01,0.1,0.1,0,0.1,0.5,0,0.5,0,0.1,0.1,0.1,0,0.01,0,0.1,0.01,0.5,0.01,0.01,0,1,15,0.5
2,1981,8,0C,3,0,0,0,0.5,35,0.1,2,0,0,0,0.01,0,0.1,0,0,0.5,0,0.5,0.1,0,0,0,0,1,0,0.01,0.5,0.01,0,0.1,0,0.1,0,0.1,0,0.01,0,0,5,0.1
2,1981,8,0E,2,0,0,10,0.1,15,0.5,2,0,0,0,0,0,0.1,0.1,0,2,0.01,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0,0.1,0,0.5,0,0.5,0,0.01,0,0,6,2
2,1981,8,0G,7,0,0,0.5,0.5,45,0,2,0,0,0,0,0,0.01,0.1,0,1,0.01,0.01,0.5,0,0,0,0,0,0,0,0.5,0.1,0,1,0,0.01,0,1,0,0.01,0,0,10,0.1
2,1981,8,0I,20,0,0,15,0.5,3,1,2,0,0,0,0,0,0.01,0,0.1,0,0.01,0,0,0,0,0.1,0,0,0.1,0.01,0.01,0,0.01,0,0,0.5,0,0.01,0,0,0,0,5,0.5
2,1981,8,2I,20,0,0,12,1,4,1,3,0,0,0,0.5,0,0.1,0.01,5,0.5,0.1,0.01,0.5,1,0,2,0,0,0.1,0.01,0.01,0.01,0,0.01,0,0.1,0,0.01,0,0,0,0.5,20,3
2,1981,8,2G,25,0,0,15,0.1,10,0.5,2,0,0.5,0,0,0,0.01,0,0,0.5,0.01,0,0.1,4,0,2,0,0,0,0,0,0.1,0.01,0,0,0.01,0,0.5,0,0,0,1,10,2
2,1981,8,2E,10,0,0,0,2,10,0.5,1,2,0,0,15,0,0.1,0.1,0,2,0.01,0.5,0,0,0,2,0,0,0.5,0,0.1,0.1,0,0,0,0.1,0.01,0.1,0,0,0,1,25,0.5
2,1981,8,2C,28,0,0,20,0.01,3,0.5,3,0,1,0,0.5,0,0.1,0.5,0,0.5,0,0.1,0.1,2,0,0.1,0,0.1,1,0,0,0.1,0,0.01,0,0.1,0.1,0.5,0,0,0,1,6,2
2,1981,8,2A,15,0,0,1,0.5,15,0,1,0,0,0,1,0,0.5,0,0,2,0.01,0.5,0.5,0,0,0,0,0.5,0,0.1,0.5,0.1,0,0.1,0,0.5,0,1,0.1,0.1,0,3,5,2
2,1981,8,4A,4,0,0,0,1,40,0,3,0,0,0,0.5,0,0.01,0,0,2,0.01,0,0.5,0,0.01,0,0,0.1,0,0.01,1,0.01,0,1,0.5,0,0.1,0.5,0,0,0,0.5,0.5,0
2,1981,8,4C,10,0,0,3,0.1,3,0.5,2,0,0,0,0.5,0,0,0,0,0.5,0,0.1,0.01,0,0,0,0,0.1,0,0,0.5,0,0.01,0.1,0,0,0,0.1,0,0.01,0,0.1,0.1,0.01
2,1981,8,4E,10,1,0,5,0.1,4,0,2,0,0,0,0,0,0.1,0,0,0.5,0.01,0.1,0.1,0.1,0,0.5,0,0,0,0.1,0.1,0.01,0,0,0,0.01,0,0.1,0,0,0,1,4,0.5
2,1981,8,4G,25,0,0,0,0,40,0,1,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0.1,0.1,0.5,0,0.1,0,0,0,0,0.5,0,0,0.01,0,0.01,0,0.1,0,0.01,0,0.1,1,0.1
2,1981,8,4I,0,0,0,1,0.1,5,0,0.5,0,0,0.5,0,0,0.01,0,0,0.5,0.01,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0.1,0.1,0,0.1,0,0.1,0,0.01,0,0,0,0.1,2,0.1
